Area code,Area name,2023
S12000005,Clackmannanshire,21567
S12000006,Dumfries and Galloway,22534
S12000008,East Ayrshire,20440
S12000010,East Lothian,26042
S12000011,East Renfrewshire,28595
S12000013,Na h-Eileanan Siar,22940
S12000014,Falkirk,21537
S12000017,Highland,23625
S12000018,Inverclyde,21486
S12000019,Midlothian,23258
S12000020,Moray,21873
S12000021,North Ayrshire,20448
S12000023,Orkney Islands,21575
S12000026,Scottish Borders,23765
S12000027,Shetland Islands,24953
S12000028,South Ayrshire,22804
S12000029,South Lanarkshire,22339
S12000030,Stirling,24946
S12000033,Aberdeen City,22582
S12000034,Aberdeenshire,25080
S12000035,Argyll and Bute,23379
S12000036,City of Edinburgh,29109
S12000038,Renfrewshire,20432
S12000039,West Dunbartonshire,18626
S12000040,West Lothian,22233
S12000041,Angus,22631
S12000042,Dundee City,18954
S12000045,East Dunbartonshire,28153
S12000047,Fife,21909
S12000048,Perth and Kinross,25305
S12000049,Glasgow City,20006
S12000050,North Lanarkshire,20049
