date,market,arrivals,index_2019
2025-10-01,Total International Visitor Arrivals By Place Of Residence,1378409,86.52905500811467
2025-10-01,Southeast Asia,455320,82.48148527781632
2025-10-01,Brunei Darussalam,3946,65.2195471323894
2025-10-01,Indonesia,177201,68.35961636017959
2025-10-01,Malaysia,110301,108.42790789117987
2025-10-01,Myanmar,15330,117.92836858064145
2025-10-01,Philippines,64379,93.15382992192444
2025-10-01,Thailand,49760,112.9738698734455
2025-10-01,Vietnam,26319,53.354191091754984
2025-10-01,Other Markets In Southeast Asia,8084,84.68468468468468
2025-10-01,Greater China,295864,77.65887358620816
2025-10-01,China,225996,74.7687421425263
2025-10-01,Hong Kong SAR,26179,64.30317147758022
2025-10-01,Taiwan,41966,118.31712594771501
2025-10-01,Other Markets In Greater China,1723,67.88587188495255
2025-10-01,North Asia,105731,82.90714625971916
2025-10-01,Japan,54859,74.44329351311987
2025-10-01,South Korea,50779,94.3485154401655
2025-10-01,Other Markets In North Asia,93,566.497461928934
2025-10-01,South Asia,129303,90.54340538241097
2025-10-01,Bangladesh,14385,126.0128772283299
2025-10-01,India,102736,86.94203709045108
2025-10-01,Pakistan,2143,128.74737158305797
2025-10-01,Sri Lanka,6024,73.21045169131051
2025-10-01,Other Markets In South Asia,4015,120.44999999999999
2025-10-01,West Asia,16175,114.91871025801944
2025-10-01,Iran,493,74.28427925665495
2025-10-01,Israel,2853,140.90628472650945
2025-10-01,Kuwait,293,36.529870129870126
2025-10-01,Saudi Arabia,1796,139.3057979445414
2025-10-01,United Arab Emirates,7900,116.2762173433092
2025-10-01,Other Markets In West Asia,2840,113.54322838580711
2025-10-01,Americas,70622,88.02891002595794
2025-10-01,Canada,11814,102.31302728722676
2025-10-01,USA,49937,82.15473074776976
2025-10-01,Other Markets In Americas,8871,112.36344061051942
2025-10-01,Europe,162673,91.5260578889155
2025-10-01,Belgium & Luxembourg,3033,105.61197841100342
2025-10-01,Denmark,3136,98.90404478435701
2025-10-01,Finland,2877,112.18196588139723
2025-10-01,France,14996,84.560730799594
2025-10-01,Germany,26922,84.84781632379706
2025-10-01,Italy,5595,65.3596043767766
2025-10-01,Netherlands,7725,93.20985792283793
2025-10-01,Norway,1761,62.28116710875331
2025-10-01,Rep Of Ireland,2199,106.8686214158432
2025-10-01,Russian Federation,5724,85.58292527940792
2025-10-01,Spain,5363,98.40517439104572
2025-10-01,Sweden,2956,70.73603605400123
2025-10-01,Switzerland,8818,107.97440842440382
2025-10-01,United Kingdom,47256,93.29588809863431
2025-10-01,Other Markets In Europe,24312,106.658087536376
2025-10-01,Oceania,134344,122.08411018200597
2025-10-01,Australia,116369,122.13627490081656
2025-10-01,New Zealand,14984,117.50083318630044
2025-10-01,Other Markets In Oceania,2991,148.6642090875202
2025-10-01,Africa,8339,110.00593628388629
2025-10-01,Egypt,505,116.94326514859128
2025-10-01,Mauritius,376,34.45326817348809
2025-10-01,South Africa (Rep Of),3494,98.10702669817722
2025-10-01,Other Markets In Africa,3964,158.81940502821277
2025-10-01,Others,38,9120.0
2025-09-01,Total International Visitor Arrivals By Place Of Residence,1254344,78.74092593352088
2025-09-01,Southeast Asia,418343,75.78308002191318
2025-09-01,Brunei Darussalam,3895,64.37661836813399
2025-09-01,Indonesia,169866,65.52996085032402
2025-09-01,Malaysia,120634,118.58543658302818
2025-09-01,Myanmar,13047,100.36604206599013
2025-09-01,Philippines,51355,74.30862448376692
2025-09-01,Thailand,26947,61.17980047185965
2025-09-01,Vietnam,23385,47.40635125501312
2025-09-01,Other Markets In Southeast Asia,9214,96.52210349884768
2025-09-01,Greater China,257048,67.47038550681272
2025-09-01,China,207027,68.49301925494608
2025-09-01,Hong Kong SAR,22474,55.20262331590733
2025-09-01,Taiwan,26379,74.37181207107598
