date,market_group,arrivals,index_2019
2019-01-01,ASEAN,483756,89.17474977230383
2019-01-01,Americas,117635,118.02714518989342
2019-01-01,Europe,343655,127.41550017070674
2019-01-01,Greater China,353764,102.38895699809869
2019-01-01,North Asia,66423,90.11548832397781
2019-01-01,Oceania,135641,125.55835055459004
2019-01-01,Other,1748312,100.0812538034799
2019-01-01,Total,1624593,101.98315381196585
2019-02-01,ASEAN,447503,82.49193404806407
2019-02-01,Americas,97846,98.17217705827612
2019-02-01,Europe,323987,120.12327960834779
2019-02-01,Greater China,380964,110.26137937671349
2019-02-01,North Asia,69905,94.83948649244492
2019-02-01,Oceania,73030,67.60143570897966
2019-02-01,Other,1604867,91.86981588402378
2019-02-01,Total,1499051,94.10230667310596
2019-03-01,ASEAN,522467,96.31066899281096
2019-03-01,Americas,116815,117.2044116577328
2019-03-01,Europe,322250,119.47925951902417
2019-03-01,Greater China,336183,97.30053575403889
2019-03-01,North Asia,84067,114.05294486746824
2019-03-01,Oceania,81949,75.85745659201936
2019-03-01,Other,1665597,95.34627463022318
2019-03-01,Total,1564664,98.2211356173797
2019-04-01,ASEAN,543431,100.17513672908002
2019-04-01,Americas,96691,97.01332677822064
2019-04-01,Europe,271055,100.49790749085832
2019-04-01,Greater China,356452,103.16693756257358
2019-04-01,North Asia,65224,88.48881577831669
2019-04-01,Oceania,121645,112.60272007146146
2019-04-01,Other,1738950,99.545330754214
2019-04-01,Total,1596724,100.23368886069149
2019-05-01,ASEAN,525619,96.89170325653545
2019-05-01,Americas,87021,87.31109110018035
2019-05-01,Europe,180914,67.07671297633743
2019-05-01,Greater China,321534,93.06071533402684
2019-05-01,North Asia,59154,80.2537012227178
2019-05-01,Oceania,93267,86.33415177693286
2019-05-01,Other,1708073,97.7777921949122
2019-05-01,Total,1487791,93.39546482907318
2019-06-01,ASEAN,613261,113.047478935895
2019-06-01,Americas,95522,95.84042982810388
2019-06-01,Europe,165204,61.25198321049143
2019-06-01,Greater China,304799,88.21714958012541
2019-06-01,North Asia,56735,76.97186561975342
2019-06-01,Oceania,102012,94.42910666225433
2019-06-01,Other,1766161,101.10301096074836
2019-06-01,Total,1551847,97.4165537421605
2019-07-01,ASEAN,607255,111.94034321637429
2019-07-01,Americas,105983,106.33630236460641
2019-07-01,Europe,262110,97.1814079519982
2019-07-01,Greater China,443557,128.37750194820745
2019-07-01,North Asia,71432,96.91115369613512
2019-07-01,Oceania,125305,115.99066002346565
2019-07-01,Other,1989544,113.89046006501735
2019-07-01,Total,1802593,113.157030209642
2019-08-01,ASEAN,510958,94.18911970943373
2019-08-01,Americas,87791,88.08365795355067
2019-08-01,Europe,321801,119.3127857020372
2019-08-01,Greater China,454033,131.40954227314748
2019-08-01,North Asia,108119,146.6840775348924
2019-08-01,Oceania,97936,90.65608938237206
2019-08-01,Other,1891566,108.28175802261455
2019-08-01,Total,1736102,108.98308517841792
2019-09-01,ASEAN,500621,92.28361489213677
2019-09-01,Americas,79191,79.4549892016224
2019-09-01,Europe,240878,89.30930977323041
2019-09-01,Greater China,285750,82.70384906945507
2019-09-01,North Asia,80855,109.69525327725678
2019-09-01,Oceania,125289,115.9758493570088
2019-09-01,Other,1614501,92.42130943845956
2019-09-01,Total,1463543,91.87330665552906
2019-10-01,ASEAN,546473,100.73589378182429
2019-10-01,Americas,84634,84.91613385473235
2019-10-01,Europe,245987,91.20355193578338
2019-10-01,Greater China,296484,85.8105616360746
2019-10-01,North Asia,80109,108.68316176844677
2019-10-01,Oceania,110325,102.12417355324088
2019-10-01,Other,1696943,97.14066086204213
2019-10-01,Total,1530479,96.07518637774733
2019-11-01,ASEAN,556023,102.49632437147176
2019-11-01,Americas,102581,102.9229615397157
2019-11-01,Europe,275431,102.12037836643705
2019-11-01,Greater China,291123,84.25894191652482
2019-11-01,North Asia,72769,98.72504960401581
2019-11-01,Oceania,98667,91.33275170611935
2019-11-01,Other,1670741,95.64074036034748
2019-11-01,Total,1533668,96.27537453410795
2019-12-01,ASEAN,652404,120.26303229406996
2019-12-01,Americas,124303,124.71737347336524
