date,market_group,arrivals,index_2019
2019-01-01,Africa,7083,93.43710837016029
2019-01-01,Americas,92393,115.1660259413261
2019-01-01,Europe,224478,126.29991715151239
2019-01-01,Greater China,393850,103.37840143419979
2019-01-01,North Asia,139127,109.09404562215383
2019-01-01,Oceania,137660,125.09750050359483
2019-01-01,Other,0,0.0
2019-01-01,South Asia,126665,88.69616669963641
2019-01-01,Southeast Asia,491810,89.09167019784513
2019-01-01,Total,1624593,101.98315381196585
2019-01-01,West Asia,11527,81.89601070443216
2019-02-01,Africa,4480,59.09900402348131
2019-02-01,Americas,77043,96.03255805740247
2019-02-01,Europe,213198,119.95335728609547
2019-02-01,Greater China,423941,111.27673703799947
2019-02-01,North Asia,132146,103.62001446725036
2019-02-01,Oceania,74454,67.65951839673579
2019-02-01,Other,0,0.0
2019-02-01,South Asia,108449,75.94055644739169
2019-02-01,Southeast Asia,455405,82.49688307771224
2019-02-01,Total,1499051,94.10230667310596
2019-02-01,West Asia,9935,70.58530982463203
2019-03-01,Africa,6106,80.54877646593232
2019-03-01,Americas,91115,113.57302451099032
2019-03-01,Europe,213342,120.03437719927099
2019-03-01,Greater China,365215,95.86223912604108
2019-03-01,North Asia,131235,102.9056694762581
2019-03-01,Oceania,83730,76.08901436267612
2019-03-01,Other,0,0.0
2019-03-01,South Asia,128593,90.04623348522752
2019-03-01,Southeast Asia,530303,96.06469974365683
2019-03-01,Total,1564664,98.2211356173797
2019-03-01,West Asia,15025,106.7482919089176
2019-04-01,Africa,7247,95.60055405316272
2019-04-01,Americas,75440,94.03445062952433
2019-04-01,Europe,181375,102.04851911258814
2019-04-01,Greater China,389376,102.20405849141292
2019-04-01,North Asia,104688,82.08929573765008
2019-04-01,Oceania,124189,112.85582950777959
2019-04-01,Other,0,0.0
2019-04-01,South Asia,145854,102.13311252365504
2019-04-01,Southeast Asia,554453,100.43948641997078
2019-04-01,Total,1596724,100.23368886069149
2019-04-01,West Asia,14102,100.19064309481239
2019-05-01,Africa,4961,65.44423191082383
2019-05-01,Americas,69238,86.30378171642373
2019-05-01,Europe,119900,67.46033048435184
2019-05-01,Greater China,349842,91.82710858078792
2019-05-01,North Asia,102715,80.54220170117613
2019-05-01,Oceania,94996,86.32690801859287
2019-05-01,Other,0,0.0
2019-05-01,South Asia,202168,141.56654663349852
2019-05-01,Southeast Asia,535242,96.9594024929038
2019-05-01,Total,1487791,93.39546482907318
2019-05-01,West Asia,8729,62.017027625486975
2019-06-01,Africa,6787,89.53235274718027
2019-06-01,Americas,81305,101.34505578517332
2019-06-01,Europe,110587,62.22048012738131
2019-06-01,Greater China,338988,88.97813265298086
2019-06-01,North Asia,102441,80.3273493109106
2019-06-01,Oceania,104003,94.51195223649115
2019-06-01,Other,0,0.0
2019-06-01,South Asia,170742,119.5607381252068
2019-06-01,Southeast Asia,622117,112.6968597394783
2019-06-01,Total,1551847,97.4165537421605
2019-06-01,West Asia,14877,105.69679459094623
2019-07-01,Africa,7548,99.57126838599038
2019-07-01,Americas,88663,110.51665556953228
2019-07-01,Europe,173060,97.37018176498692
2019-07-01,Greater China,498897,130.95131227705463
2019-07-01,North Asia,130551,102.3693226334055
2019-07-01,Oceania,127346,115.72472976268186
2019-07-01,Other,0,0.0
2019-07-01,South Asia,138129,96.72374223387736
2019-07-01,Southeast Asia,617788,111.91265884830798
2019-07-01,Total,1802593,113.157030209642
2019-07-01,West Asia,20611,146.43521095072882
2019-08-01,Africa,8289,109.34634918540993
2019-08-01,Americas,71328,88.90892490061918
2019-08-01,Europe,203813,114.67299697253715
2019-08-01,Greater China,499809,131.19069555014843
2019-08-01,North Asia,173762,136.25248553765047
2019-08-01,Oceania,99796,90.68887229592292
2019-08-01,Other,0,0.0
2019-08-01,South Asia,135500,94.88280573008117
2019-08-01,Southeast Asia,520958,94.37184750803969
2019-08-01,Total,1736102,108.98308517841792
2019-08-01,West Asia,22847,162.32134610602597
2019-09-01,Africa,7961,105.01945781940505
2019-09-01,Americas,64342,80.20101567344716
2019-09-01,Europe,159864,89.94560694370662
2019-09-01,Greater China,318888,83.70225130519005
2019-09-01,North Asia,132515,103.90935947457874
2019-09-01,Oceania,127327,115.70746365408411
2019-09-01,Other,1,240.0
2019-09-01,South Asia,129203,90.47338117154005
2019-09-01,Southeast Asia,511664,92.68823395236012
2019-09-01,Total,1463543,91.87330665552906
2019-09-01,West Asia,11778,83.67929331801874
2019-10-01,Africa,6697,88.34509596992282
2019-10-01,Americas,68654,85.57583740083992
2019-10-01,Europe,164050,92.30081080865656
2019-10-01,Greater China,331072,86.90032783959221
2019-10-01,North Asia,136707,107.19644421907886
2019-10-01,Oceania,112052,101.82642108403898
2019-10-01,Other,3,719.9999999999999
2019-10-01,South Asia,142972,100.11501476635547
2019-10-01,Southeast Asia,555996,100.71900177572863
2019-10-01,Total,1530479,96.07518637774733
2019-10-01,West Asia,12276,87.21743969876023
2019-11-01,Africa,7472,98.5686959963063
2019-11-01,Americas,82972,103.42293793256749
2019-11-01,Europe,179959,101.25182329969537
2019-11-01,Greater China,319671,83.90777444426071
2019-11-01,North Asia,125534,98.43532831967526
2019-11-01,Oceania,100883,91.67667545622662
2019-11-01,Other,1,240.0
2019-11-01,South Asia,139058,97.3742671528681
2019-11-01,Southeast Asia,565680,102.47326406034247
2019-11-01,Total,1533668,96.27537453410795
2019-11-01,West Asia,12438,88.3684029792424
2019-12-01,Africa,16335,215.48710507222478
2019-12-01,Americas,100218,124.91973188215361
2019-12-01,Europe,189183,106.44159884921716
2019-12-01,Greater China,342199,89.82096126033193
2019-12-01,North Asia,118932,93.25848350021204
2019-12-01,Oceania,134070,121.83511472117505
2019-12-01,Other,0,0.0
2019-12-01,South Asia,146360,102.48743503066184
2019-12-01,Southeast Asia,662907,120.0859921836541
2019-12-01,Total,1724961,108.28371351017911
2019-12-01,West Asia,14757,104.84422919799647
2020-01-01,Africa,9271,122.30063979948551
2020-01-01,Americas,98790,123.13975845295214
2020-01-01,Europe,225192,126.70164088767442
2020-01-01,Greater China,413392,108.50781801621612
2020-01-01,North Asia,127547,100.01378766859672
2020-01-01,Oceania,148055,134.54387939168774
2020-01-01,Other,1,240.0
2020-01-01,South Asia,123324,86.35665781443934
2020-01-01,Southeast Asia,528985,95.82594326997642
2020-01-01,Total,1688102,105.9699050262356
2020-01-01,West Asia,13545,96.23331872920392
2020-02-01,Africa,3435,45.31363366532551
2020-02-01,Americas,53615,66.83002479456451
2020-02-01,Europe,190088,106.95078649799395
2020-02-01,Greater China,36496,9.579530630297208
2020-02-01,North Asia,69624,54.59446284615379
2020-02-01,Oceania,62292,56.60739140905077
2020-02-01,Other,1,240.0
2020-02-01,South Asia,64947,45.47862423432902
2020-02-01,Southeast Asia,247016,44.74709340109171
2020-02-01,Total,732966,46.01163757134332
2020-02-01,West Asia,5452,38.73488768635067
2020-03-01,Africa,1381,18.21779565991689
2020-03-01,Americas,15567,19.403954042282678
2020-03-01,Europe,67261,37.843613750692164
2020-03-01,Greater China,8410,2.2074707529811355
2020-03-01,North Asia,12809,10.043957178507181
2020-03-01,Oceania,21275,19.333497916707685
2020-03-01,Other,0,0.0
2020-03-01,South Asia,24252,16.98227162041276
2020-03-01,Southeast Asia,88027,15.946142722811071
2020-03-01,Total,240001,15.065963535498192
2020-03-01,West Asia,1019,7.239701128465027
2020-04-01,Africa,3,0.03957522590858123
2020-04-01,Americas,13,0.016204239901694277
2020-04-01,Europe,47,0.02644399943923717
2020-04-01,Greater China,33,0.008661894750104336
2020-04-01,North Asia,34,0.026660515580392233
2020-04-01,Oceania,14,0.012722395808879324
2020-04-01,Other,0,0.0
2020-04-01,South Asia,95,0.06652300032736319
2020-04-01,Southeast Asia,503,0.09111874526649742
2020-04-01,Total,750,0.047080939877849025
2020-04-01,West Asia,8,0.05683769286331719
2020-05-01,Africa,1,0.013191741969527075
2020-05-01,Americas,38,0.04736623971264481
2020-05-01,Europe,90,0.050637445734709484
2020-05-01,Greater China,29,0.007611968113728054
2020-05-01,North Asia,38,0.02979704682514426
2020-05-01,Oceania,18,0.016357366039987702
2020-05-01,Other,0,0.0
2020-05-01,South Asia,86,0.06022082134898141
2020-05-01,Southeast Asia,574,0.1039804369442734
2020-05-01,Total,880,0.05524163612334286
2020-05-01,West Asia,6,0.04262826964748789
2020-06-01,Africa,9,0.11872567772574369
2020-06-01,Americas,153,0.19071143884301728
2020-06-01,Europe,266,0.14966178406036357
2020-06-01,Greater China,220,0.05774596500069558
2020-06-01,North Asia,185,0.1450645700697813
2020-06-01,Oceania,66,0.05997700881328824
2020-06-01,Other,0,0.0
2020-06-01,South Asia,147,0.10293558998023565
2020-06-01,Southeast Asia,1100,0.1992656457120222
2020-06-01,Total,2171,0.13628362729974697
2020-06-01,West Asia,25,0.17761779019786622
2020-07-01,Africa,19,0.2506430974210144
2020-07-01,Americas,443,0.5521906366500434
2020-07-01,Europe,850,0.478242543050034
2020-07-01,Greater China,1410,0.3700991393226398
2020-07-01,North Asia,827,0.6484778348524818
2020-07-01,Oceania,160,0.14539880924433513
2020-07-01,Other,0,0.0
2020-07-01,South Asia,688,0.48176657079185126
2020-07-01,Southeast Asia,2310,0.41845785599524665
2020-07-01,Total,6843,0.4295664954454945
2020-07-01,West Asia,136,0.9662407786763922
2020-08-01,Africa,55,0.7255458083239892
2020-08-01,Americas,506,0.6307188761736388
2020-08-01,Europe,1078,0.6065240722446313
2020-08-01,Greater China,2622,0.6882269101446536
2020-08-01,North Asia,828,0.6492619676636697
2020-08-01,Oceania,181,0.16448240295765412
2020-08-01,Other,0,0.0
2020-08-01,South Asia,717,0.5020735919444148
2020-08-01,Southeast Asia,2833,0.5131996130019627
2020-08-01,Total,8912,0.5594471149218541
2020-08-01,West Asia,92,0.6536334679281477
2020-09-01,Africa,41,0.5408614207506101
2020-09-01,Americas,443,0.5521906366500434
2020-09-01,Europe,1007,0.5665767539428049
2020-09-01,Greater China,2845,0.7467603201226314
2020-09-01,North Asia,568,0.4453874367547879
2020-09-01,Oceania,222,0.20174084782651497
2020-09-01,Other,0,0.0
2020-09-01,South Asia,487,0.34101790694132494
2020-09-01,Southeast Asia,3770,0.6829377130312034
2020-09-01,Total,9500,0.5963585717860878
2020-09-01,West Asia,117,0.831251258126014
2020-10-01,Africa,49,0.6463953565068267
2020-10-01,Americas,506,0.6307188761736388
2020-10-01,Europe,1066,0.5997724128133367
2020-10-01,Greater China,3626,0.9517584958751006
2020-10-01,North Asia,790,0.6194649208385254
2020-10-01,Oceania,290,0.2635353417553574
2020-10-01,Other,0,0.0
2020-10-01,South Asia,566,0.39633703352934274
2020-10-01,Southeast Asia,6378,1.1553784439557069
2020-10-01,Total,13399,0.8411166845643988
2020-10-01,West Asia,128,0.909403085813075
2020-11-01,Africa,39,0.514477936811556
2020-11-01,Americas,522,0.6506625560526471
2020-11-01,Europe,968,0.5446338607910975
2020-11-01,Greater China,4475,1.174605424445967
2020-11-01,North Asia,1042,0.8170663892579031
2020-11-01,Oceania,481,0.4371051702907825
2020-11-01,Other,0,0.0
2020-11-01,South Asia,653,0.4572580969870333
2020-11-01,Southeast Asia,6457,1.1696893403295705
2020-11-01,Total,14749,0.9258623763445271
2020-11-01,West Asia,112,0.7957277000864407
2020-12-01,Africa,61,0.8046962601411516
2020-12-01,Americas,656,0.8176908750393419
2020-12-01,Europe,1210,0.680792325988872
2020-12-01,Greater China,8422,2.210620532890264
2020-12-01,North Asia,1149,0.90096860005502
2020-12-01,Oceania,1000,0.9087425577770946
2020-12-01,Other,1,240.0
2020-12-01,South Asia,2670,1.8696464302532598
2020-12-01,Southeast Asia,8826,1.598835080958462
2020-12-01,Total,24170,1.5172617557968147
2020-12-01,West Asia,175,1.2433245313850636
2021-01-01,Africa,42,0.5540531627201372
2021-01-01,Americas,669,0.8338951149410363
2021-01-01,Europe,1690,0.9508587032406559
2021-01-01,Greater China,7222,1.8956425419773795
2021-01-01,North Asia,987,0.7739390846425628
2021-01-01,Oceania,642,0.5834127220928946
2021-01-01,Other,1,240.0
2021-01-01,South Asia,5186,3.631455575765321
2021-01-01,Southeast Asia,6786,1.229287883456166
2021-01-01,Total,23366,1.4667909882477606
2021-01-01,West Asia,141,1.0017643367159654
2021-02-01,Africa,35,0.4617109689334477
2021-02-01,Americas,523,0.6519090360450851
2021-02-01,Europe,1128,0.6346559865416922
2021-02-01,Greater China,4984,1.308208588924849
2021-02-01,North Asia,743,0.5826106787126891
2021-02-01,Oceania,271,0.24626923315759264
2021-02-01,Other,0,0.0
2021-02-01,South Asia,4697,3.2890371846065776
2021-02-01,Southeast Asia,5666,1.0263992260039254
2021-02-01,Total,18141,1.1387937737654124
2021-02-01,West Asia,94,0.667842891143977
2021-03-01,Africa,36,0.47490271090297476
2021-03-01,Americas,582,0.7254513555989284
2021-03-01,Europe,1085,0.6104625402462199
2021-03-01,Greater China,9467,2.4849138666435686
2021-03-01,North Asia,1008,0.790405873677511
2021-03-01,Oceania,318,0.288980133373116
2021-03-01,Other,0,0.0
2021-03-01,South Asia,7233,5.06485117229282
2021-03-01,Southeast Asia,7331,1.3280149533771224
2021-03-01,Total,27202,1.7075943020763324
2021-03-01,West Asia,142,1.0088690483238802
2021-04-01,Africa,35,0.4617109689334477
2021-04-01,Americas,684,0.8525923148276067
2021-04-01,Europe,1014,0.5705152219443935
2021-04-01,Greater China,9591,2.517461592371233
2021-04-01,North Asia,1068,0.8374538423487914
2021-04-01,Oceania,292,0.26535282687091155
2021-04-01,Other,1,240.0
2021-04-01,South Asia,5640,3.949365493119246
2021-04-01,Southeast Asia,7262,1.3155155628733686
2021-04-01,Total,25737,1.6156295328482673
2021-04-01,West Asia,150,1.0657067411871974
2021-05-01,Africa,44,0.5804366466591914
2021-05-01,Americas,342,0.42629615741380333
2021-05-01,Europe,499,0.280756504684667
2021-05-01,Greater China,7852,2.061005987206644
2021-05-01,North Asia,451,0.35364389784579114
2021-05-01,Oceania,294,0.2671703119864658
2021-05-01,Other,0,0.0
2021-05-01,South Asia,122,0.08542953726250851
2021-05-01,Southeast Asia,4478,0.8111923286349413
2021-05-01,Total,14190,0.8907713824889036
2021-05-01,West Asia,108,0.7673088536547821
2021-06-01,Africa,8,0.1055339357562166
2021-06-01,Americas,245,0.3053875981473152
2021-06-01,Europe,286,0.1609145497791879
2021-06-01,Greater China,7383,1.9379020890915248
2021-06-01,North Asia,219,0.17172508565017353
2021-06-01,Oceania,251,0.22809438200205073
2021-06-01,Other,0,0.0
2021-06-01,South Asia,19,0.013304600065472637
2021-06-01,Southeast Asia,1561,0.2827760663240606
2021-06-01,Total,10029,0.6295663280465972
2021-06-01,West Asia,57,0.404968561651135
2021-07-01,Africa,31,0.4089440010553394
2021-07-01,Americas,777,0.9685149541243425
2021-07-01,Europe,874,0.49174586191262315
2021-07-01,Greater China,13514,3.547177140997273
2021-07-01,North Asia,499,0.3912822727828154
2021-07-01,Oceania,366,0.33259977614641656
2021-07-01,Other,3,719.9999999999999
2021-07-01,South Asia,342,0.23948280117850745
2021-07-01,Southeast Asia,1968,0.35650435523750884
2021-07-01,Total,18517,1.1623970182908405
2021-07-01,West Asia,143,1.0159737599317948
2021-08-01,Africa,54,0.7123540663544622
2021-08-01,Americas,1001,1.2477264724304593
2021-08-01,Europe,1515,0.8523970032009429
2021-08-01,Greater China,9978,2.6190419944406385
2021-08-01,North Asia,714,0.5598708271882369
2021-08-01,Oceania,370,0.33623474637752493
2021-08-01,Other,3,719.9999999999999
2021-08-01,South Asia,112,0.07842711617541764
2021-08-01,Southeast Asia,1933,0.3501640846921263
2021-08-01,Total,15887,0.9972998557858499
2021-08-01,West Asia,207,1.4706753028383324
2021-09-01,Africa,43,0.5672449046896643
2021-09-01,Americas,867,1.0806981534437645
2021-09-01,Europe,2297,1.292380142806974
2021-09-01,Greater China,10099,2.650802275191021
2021-09-01,North Asia,1299,1.018588521733221
2021-09-01,Oceania,366,0.33259977614641656
2021-09-01,Other,1,240.0
2021-09-01,South Asia,1105,0.7737675301235403
2021-09-01,Southeast Asia,2774,0.5025117283683178
2021-09-01,Total,19009,1.1932821148507096
2021-09-01,West Asia,158,1.1225444340505146
2021-10-01,Africa,71,0.9366136798364224
2021-10-01,Americas,1092,1.3611561517423192
2021-10-01,Europe,3453,1.9427900013550203
2021-10-01,Greater China,6971,1.8297596455447676
2021-10-01,North Asia,1264,0.9911438733416408
2021-10-01,Oceania,332,0.30170252918199536
2021-10-01,Other,7,1680.0
2021-10-01,South Asia,4055,2.8394817508153447
2021-10-01,Southeast Asia,6448,1.168058985046472
2021-10-01,Total,24006,1.5069667236101916
2021-10-01,West Asia,313,2.2237747332772853
2021-11-01,Africa,79,1.042147615592639
2021-11-01,Americas,2231,2.7808968631292252
2021-11-01,Europe,5668,3.189033804714815
2021-11-01,Greater China,4307,1.130508505718163
2021-11-01,North Asia,2032,1.59335787233403
2021-11-01,Oceania,1668,1.5157825863721937
2021-11-01,Other,5,1200.0
2021-11-01,South Asia,11879,8.318176009355234
2021-11-01,Southeast Asia,12937,2.343545144160392
2021-11-01,Total,41179,2.5849946976399267
2021-11-01,West Asia,373,2.650057429752164
2021-12-01,Africa,74,0.9761889057450037
2021-12-01,Americas,4590,5.721343165290517
2021-12-01,Europe,9450,5.316931802144496
2021-12-01,Greater China,5963,1.5651781331779442
2021-12-01,North Asia,2770,2.172047886990779
2021-12-01,Oceania,5632,5.118038085400596
2021-12-01,Other,11,2640.0
2021-12-01,South Asia,33939,23.765516927477677
2021-12-01,Southeast Asia,30006,5.435604513849944
2021-12-01,Total,92796,5.825230529206504
2021-12-01,West Asia,361,2.5648008904571884
2022-01-01,Africa,114,1.5038585845260866
2022-01-01,Americas,2928,3.6496934178585265
2022-01-01,Europe,7225,4.065061615925289
2022-01-01,Greater China,5759,1.5116318747227537
2022-01-01,North Asia,2505,1.9642526920259573
2022-01-01,Oceania,3882,3.527738609290681
2022-01-01,Other,9,2160.0
2022-01-01,South Asia,16901,11.834791879292265
2022-01-01,Southeast Asia,17563,3.181547759672951
2022-01-01,Total,57174,3.5890742087681873
2022-01-01,West Asia,288,2.046156943079419
2022-02-01,Africa,58,0.7651210342325704
2022-02-01,Americas,4442,5.536864126409691
2022-02-01,Europe,10444,5.876194258370065
2022-02-01,Greater China,6177,1.6213492082240752
2022-02-01,North Asia,2508,1.9666050904595211
2022-02-01,Oceania,4673,4.246553972492363
2022-02-01,Other,6,1439.9999999999998
2022-02-01,South Asia,20077,14.058760816552324
2022-02-01,Southeast Asia,18760,3.3983850123250336
2022-02-01,Total,67765,4.253919854429919
2022-02-01,West Asia,620,4.4049211969070825
2022-03-01,Africa,129,1.7017347140689927
2022-03-01,Americas,6521,8.128296030688336
2022-03-01,Europe,14625,8.22858493189029
2022-03-01,Greater China,8563,2.2476304468225283
2022-03-01,North Asia,3555,2.7875921437733644
2022-03-01,Oceania,8126,7.3844420244966695
2022-03-01,Other,18,4320.0
2022-03-01,South Asia,36779,25.75420451621148
2022-03-01,Southeast Asia,41170,7.457969667239958
2022-03-01,Total,121207,7.60871930636593
2022-03-01,West Asia,1721,12.227208677221112
2022-04-01,Africa,814,10.73807796319504
2022-04-01,Americas,14729,18.359403808619614
2022-04-01,Europe,32971,18.550746925767847
2022-04-01,Greater China,13729,3.603610697702498
2022-04-01,North Asia,9940,7.7942801432087885
2022-04-01,Oceania,29323,26.647058021697738
2022-04-01,Other,27,6480.0
2022-04-01,South Asia,52271,36.602355264332644
2022-04-01,Southeast Asia,137294,24.870888693078523
2022-04-01,Total,295095,18.52446660433848
2022-04-01,West Asia,3997,28.397532296834854
2022-05-01,Africa,1300,17.1492645603852
2022-05-01,Americas,25106,31.29412669014896
2022-05-01,Europe,42110,23.692698220984624
2022-05-01,Greater China,17723,4.651962444124217
2022-05-01,North Asia,16953,13.293403548070282
2022-05-01,Oceania,35326,32.10223959603364
2022-05-01,Other,23,5520.0
2022-05-01,South Asia,69978,49.00154228324443
2022-05-01,Southeast Asia,204656,37.073554535308745
2022-05-01,Total,418458,26.268527919206598
2022-05-01,West Asia,5283,37.53419142461309
2022-06-01,Africa,2184,28.810764461447135
2022-06-01,Americas,36723,45.774484762301455
2022-06-01,Europe,48879,27.501196778520722
2022-06-01,Greater China,23566,6.185642778210872
2022-06-01,North Asia,25153,19.723292599811938
2022-06-01,Oceania,55574,50.50245890590425
2022-06-01,Other,60,14400.0
2022-06-01,South Asia,76667,53.68546174839951
2022-06-01,Southeast Asia,269088,48.74544915759694
2022-06-01,Total,543733,34.13261424346998
2022-06-01,West Asia,5839,41.48441107861364
2022-07-01,Africa,2582,34.061077765318906
2022-07-01,Americas,47365,59.039524841826875
2022-07-01,Europe,83308,46.87227032519086
2022-07-01,Greater China,35493,9.316261526225855
2022-07-01,North Asia,40886,32.06005411823285
2022-07-01,Oceania,77575,70.49570391955811
2022-07-01,Other,65,15600.0
2022-07-01,South Asia,95003,66.52510105368931
2022-07-01,Southeast Asia,332161,60.17116013213728
2022-07-01,Total,726739,45.620740221184164
2022-07-01,West Asia,12301,87.39505748895809
2022-08-01,Africa,2903,38.2956269375371
2022-08-01,Americas,44100,54.969767666516745
2022-08-01,Europe,110258,62.035372131306644
2022-08-01,Greater China,33996,8.92332648256203
2022-08-01,North Asia,50394,39.51558888700842
2022-08-01,Oceania,65622,59.6335041264485
2022-08-01,Other,85,20400.0
2022-08-01,South Asia,94325,66.05033690398456
2022-08-01,Southeast Asia,315820,57.21097838979169
2022-08-01,Total,728744,45.74660326712428
2022-08-01,West Asia,11241,79.86406318456856
2022-09-01,Africa,3713,48.98093793285403
2022-09-01,Americas,46342,57.764375809562786
2022-09-01,Europe,100653,56.631231394841265
2022-09-01,Greater China,36676,9.626777328934141
2022-09-01,North Asia,45900,35.99169603352952
2022-09-01,Oceania,94039,85.45724139080019
2022-09-01,Other,97,23280.0
2022-09-01,South Asia,104616,73.25652844470976
2022-09-01,Southeast Asia,340369,61.658044150322986
2022-09-01,Total,782215,49.1032231820689
2022-09-01,West Asia,9810,69.6972208736427
2022-10-01,Africa,3738,49.310731482092216
2022-10-01,Americas,49922,62.2267741824909
2022-10-01,Europe,103897,58.456429994434565
2022-10-01,Greater China,42415,11.133159570475012
2022-10-01,North Asia,45806,35.917987549277846
2022-10-01,Oceania,85122,77.35398400310184
