date,iso3,country,arrivals,index_2019
2019-01-01,ARE,United Arab Emirates,16760,82.22740095670305
2019-01-01,AUS,Australia,262712,91.91068942113253
2019-01-01,BGD,Bangladesh,30175,88.11119384462647
2019-01-01,BRN,Brunei Darussalam,18054,99.46559418213873
2019-01-01,CAN,Canada,44759,129.20909622337854
2019-01-01,CHE,Switzerland,26132,106.66013612105998
2019-01-01,CHN,China,960340,105.90661461434968
2019-01-01,CHN,Greater China,1183006,103.50579253274678
2019-01-01,DEU,Germany,133269,140.0042546821201
2019-01-01,DNK,Denmark,11153,117.24881074404057
2019-01-01,EGY,Egypt,1004,77.49903512157469
2019-01-01,ESP,Spain,12551,76.76569978134222
2019-01-01,FIN,Finland,10968,142.55727051177902
2019-01-01,FRA,France,57035,107.20461636780573
2019-01-01,GBR,United Kingdom,188565,124.092454851017
2019-01-01,HKG,Hong Kong SAR,103332,84.6043942997736
2019-01-01,IDN,Indonesia,724777,93.20014685146975
2019-01-01,IND,India,299994,84.62495936157654
2019-01-01,IRL,Rep Of Ireland,5851,94.7837356228738
2019-01-01,IRN,Iran,2730,137.11702661978904
2019-01-01,ISR,Israel,6215,102.31715849693377
2019-01-01,ITA,Italy,28196,109.79323235076515
2019-01-01,JPN,Japan,220335,99.6643703325086
2019-01-01,KOR,South Korea,182113,112.79000631727588
2019-01-01,KWT,Kuwait,2358,97.99480519480518
2019-01-01,LKA,Sri Lanka,19688,79.75693741138343
2019-01-01,MMR,Myanmar,35095,89.99121755463386
2019-01-01,MUS,Mauritius,2661,81.27672571777642
2019-01-01,MYS,Malaysia,283199,92.79660530993749
2019-01-01,NLD,Netherlands,23935,96.26657818265915
2019-01-01,NOR,Norway,9154,107.91629826112585
2019-01-01,NZL,New Zealand,27908,72.94921811183647
2019-01-01,PAK,Pakistan,4705,94.22248923600681
2019-01-01,PHL,Philippines,160839,77.5758598860519
2019-01-01,RUS,Russian Federation,29493,146.9891227152095
2019-01-01,SAU,Saudi Arabia,2680,69.29093142007628
2019-01-01,SWE,Sweden,18277,145.78738508784173
2019-01-01,THA,Thailand,113579,85.95564822049884
2019-01-01,TWN,Taiwan,112095,105.34526547768125
2019-01-01,USA,USA,188806,103.53916664038968
2019-01-01,VNM,Vietnam,118183,79.86066296587865
2019-01-01,ZAF,South Africa (Rep Of),8630,80.77310059199289
2019-04-01,ARE,United Arab Emirates,19930,97.77995829755918
2019-04-01,AUS,Australia,275772,96.47977497428576
2019-04-01,BGD,Bangladesh,34079,99.51089892397765
2019-04-01,BRN,Brunei Darussalam,15805,87.07509228141701
2019-04-01,CAN,Canada,29880,86.25679293895196
2019-04-01,CHE,Switzerland,21365,87.20319180416527
2019-04-01,CHN,China,851650,93.92024526345972
2019-04-01,CHN,Greater China,1078206,94.33643324172722
2019-04-01,DEU,Germany,69755,73.28033365112132
2019-04-01,DNK,Denmark,7017,73.76803595363873
2019-04-01,EGY,Egypt,1106,85.37244307217291
2019-04-01,ESP,Spain,11985,73.30387314790745
2019-04-01,FIN,Finland,5498,71.46060113728676
2019-04-01,FRA,France,44209,83.09650013157399
2019-04-01,GBR,United Kingdom,123557,81.31143872949438
2019-04-01,HKG,Hong Kong SAR,124861,102.23153792304447
2019-04-01,IDN,Indonesia,767729,98.72340808570364
2019-04-01,IND,India,447070,126.1134575417509
2019-04-01,IRL,Rep Of Ireland,5757,93.26097521464442
2019-04-01,IRN,Iran,923,46.35861376192869
2019-04-01,ISR,Israel,5096,83.89513108614233
2019-04-01,ITA,Italy,15560,60.589540905727965
2019-04-01,JPN,Japan,181059,81.89861450987665
2019-04-01,KOR,South Korea,128731,79.72835713666375
2019-04-01,KWT,Kuwait,1576,65.49610389610389
2019-04-01,LKA,Sri Lanka,24431,98.9710350415232
2019-04-01,MMR,Myanmar,42451,108.85360240523613
2019-04-01,MUS,Mauritius,2584,78.92486255345143
2019-04-01,MYS,Malaysia,303668,99.50373956566972
2019-04-01,NLD,Netherlands,19721,79.31786874201885
2019-04-01,NOR,Norway,7515,88.59416445623343
2019-04-01,NZL,New Zealand,41152,107.56794552595294
2019-04-01,PAK,Pakistan,4847,97.0661860418544
2019-04-01,PHL,Philippines,247230,119.2439634642631
2019-04-01,RUS,Russian Federation,14923,74.37421348384605
2019-04-01,SAU,Saudi Arabia,3601,93.10322538943831
2019-04-01,SWE,Sweden,8934,71.26248828444373
2019-04-01,THA,Thailand,138303,104.66656702242183
2019-04-01,TWN,Taiwan,95421,89.67528058473458
2019-04-01,USA,USA,172732,94.72435903587699
2019-04-01,VNM,Vietnam,167125,112.93259858162737
2019-04-01,ZAF,South Africa (Rep Of),9410,88.07356623066664
2019-07-01,ARE,United Arab Emirates,25922,127.17772599043298
2019-07-01,AUS,Australia,300912,105.27508973740004
2019-07-01,BGD,Bangladesh,35070,102.40462529017564
2019-07-01,BRN,Brunei Darussalam,17394,95.82943088535067
2019-07-01,CAN,Canada,29386,84.83072681740435
2019-07-01,CHE,Switzerland,24130,98.4887909307048
2019-07-01,CHN,China,1035141,114.15569377357242
2019-07-01,CHN,Greater China,1317594,115.28141971079769
2019-07-01,DEU,Germany,78031,81.97459271924087
2019-07-01,DNK,Denmark,11067,116.34471339588426
2019-07-01,EGY,Egypt,1559,120.3396372057121
2019-07-01,ESP,Spain,26177,160.10642364562148
2019-07-01,FIN,Finland,5428,70.55077173030055
2019-07-01,FRA,France,66043,124.1363106650126
2019-07-01,GBR,United Kingdom,144505,95.09707627739088
2019-07-01,HKG,Hong Kong SAR,138939,113.75808016506255
2019-07-01,IDN,Indonesia,759905,97.7173083488661
2019-07-01,IND,India,325837,91.91498124461828
2019-07-01,IRL,Rep Of Ireland,6760,109.5091527620282
2019-07-01,IRN,Iran,2294,115.2184831742843
2019-07-01,ISR,Israel,5963,98.16849816849818
2019-07-01,ITA,Italy,36110,140.6097893384214
2019-07-01,JPN,Japan,260337,117.75851852521974
2019-07-01,KOR,South Korea,176422,109.2653379742602
2019-07-01,KWT,Kuwait,4155,172.67532467532467
2019-07-01,LKA,Sri Lanka,25775,104.41563702653433
2019-07-01,MMR,Myanmar,38489,98.69417217439245
2019-07-01,MUS,Mauritius,2748,83.93402565668907
2019-07-01,MYS,Malaysia,291734,95.59329253807148
2019-07-01,NLD,Netherlands,32972,132.6133952721386
2019-07-01,NOR,Norway,9184,108.26996758031241
2019-07-01,NZL,New Zealand,47618,124.46953805537585
2019-07-01,PAK,Pakistan,5602,112.1858415940723
2019-07-01,PHL,Philippines,198140,95.56687667681547
2019-07-01,RUS,Russian Federation,12474,62.16872874070197
2019-07-01,SAU,Saudi Arabia,5938,153.5259517807511
2019-07-01,SWE,Sweden,8960,71.46987855704229
2019-07-01,THA,Thailand,131611,99.60211674647665
2019-07-01,TWN,Taiwan,134254,126.1699743203588
2019-07-01,USA,USA,175701,96.35252649747946
2019-07-01,VNM,Vietnam,181561,122.68754244475002
2019-07-01,ZAF,South Africa (Rep Of),9972,93.33364531904438
2019-10-01,ARE,United Arab Emirates,18918,92.8149147553048
2019-10-01,AUS,Australia,303940,106.33444586718166
2019-10-01,BGD,Bangladesh,37662,109.97328194122026
2019-10-01,BRN,Brunei Darussalam,21351,117.62988265109361
2019-10-01,CAN,Canada,34538,99.70338402026516
2019-10-01,CHE,Switzerland,26374,107.64788114406996
2019-10-01,CHN,China,779989,86.0174463486182
2019-10-01,CHN,Greater China,992942,86.87635451472829
2019-10-01,DEU,Germany,99702,104.74081894751771
2019-10-01,DNK,Denmark,8812,92.63843990643643
2019-10-01,EGY,Egypt,1513,116.78888460054036
2019-10-01,ESP,Spain,14686,89.82400342512881
2019-10-01,FIN,Finland,8881,115.43135662063362
2019-10-01,FRA,France,45521,85.56257283560768
2019-10-01,GBR,United Kingdom,151194,99.49903014209775
2019-10-01,HKG,Hong Kong SAR,121410,99.40598761211932
2019-10-01,IDN,Indonesia,858215,110.35913671396047
2019-10-01,IND,India,345092,97.34660185205428
2019-10-01,IRL,Rep Of Ireland,6324,102.44613640045361
2019-10-01,IRN,Iran,2017,101.305876443998
2019-10-01,ISR,Israel,7023,115.61921224842574
2019-10-01,ITA,Italy,22858,89.00743740508547
2019-10-01,JPN,Japan,222577,100.67849663239507
2019-10-01,KOR,South Korea,158582,98.21629857180017
2019-10-01,KWT,Kuwait,1536,63.833766233766234
2019-10-01,LKA,Sri Lanka,28846,116.85639052055903
2019-10-01,MMR,Myanmar,39958,102.46100786573756
2019-10-01,MUS,Mauritius,5103,155.86438607208308
2019-10-01,MYS,Malaysia,342129,112.10636258632131
2019-10-01,NLD,Netherlands,22825,91.80215780318342
2019-10-01,NOR,Norway,8077,95.21956970232833
