Team,Position,GF,GA,GD,Pts,GA_negative
Liverpool,1,86,41,45,84,-41
Arsenal,2,69,34,35,74,-34
Manchester City,3,72,44,28,71,-44
Chelsea,4,64,43,21,69,-43
Newcastle United,5,68,47,21,66,-47
Aston Villa,6,58,51,7,66,-51
Nottingham Forest,7,58,46,12,65,-46
Brighton & Hove Albion,8,66,59,7,61,-59
Bournemouth,9,58,46,12,56,-46
Brentford,10,66,57,9,56,-57
Fulham,11,54,54,0,54,-54
Crystal Palace,12,51,51,0,53,-51
Everton,13,42,44,0,48,-44
West Ham United,14,46,62,0,43,-62
Manchester United,15,44,54,0,42,-54
Wolverhampton Wanderers,16,54,69,0,42,-69
Tottenham Hotspur,17,64,65,0,38,-65
Leicester City,18,33,80,0,25,-80
Ipswich Town,19,36,82,0,22,-82
Southampton,20,26,86,0,12,-86
